"Isoform_PBid","Sample1","Sample2","P_Value_Hyp3_below_median","P_Value_Hyp3_above_median"
"PB.18","Dummy_1","Dummy_2",NA,NA
"PB.18","Dummy_1","Dummy_3",NA,NA
"PB.18","Dummy_2","Dummy_3",NA,0.999999999999987
"PB.18","Dummy_1","Dummy_4",0.999999999999964,NA
"PB.18","Dummy_2","Dummy_4",NA,NA
"PB.18","Dummy_3","Dummy_4",NA,NA
"PB.19","Dummy_1","Dummy_2",NA,NA
"PB.19","Dummy_1","Dummy_3",NA,NA
"PB.19","Dummy_2","Dummy_3",NA,0.651654301290925
"PB.19","Dummy_1","Dummy_4",0.714712377415148,NA
"PB.19","Dummy_2","Dummy_4",NA,NA
"PB.19","Dummy_3","Dummy_4",NA,NA
"PB.1","Dummy_1","Dummy_2",NA,4.96536041508083e-16
"PB.1","Dummy_1","Dummy_3",NA,9.3914538939771e-16
"PB.1","Dummy_2","Dummy_3",NA,NA
"PB.1","Dummy_1","Dummy_4",NA,4.01525510159775e-16
"PB.1","Dummy_2","Dummy_4",NA,NA
"PB.1","Dummy_3","Dummy_4",NA,NA
"PB.3","Dummy_1","Dummy_2",8.72570978278382e-12,NA
"PB.3","Dummy_1","Dummy_3",NA,NA
"PB.3","Dummy_2","Dummy_3",NA,NA
"PB.3","Dummy_1","Dummy_4",NA,NA
"PB.3","Dummy_2","Dummy_4",NA,NA
"PB.3","Dummy_3","Dummy_4",NA,0.980052794101039
"PB.5","Dummy_1","Dummy_2",NA,NA
"PB.5","Dummy_1","Dummy_3",NA,NA
"PB.5","Dummy_2","Dummy_3",NA,0.999999999999998
"PB.5","Dummy_1","Dummy_4",0.999999999999932,NA
"PB.5","Dummy_2","Dummy_4",NA,NA
"PB.5","Dummy_3","Dummy_4",NA,NA
"PB.14","Dummy_1","Dummy_2",NA,NA
"PB.14","Dummy_1","Dummy_3",0.00544589819182661,NA
"PB.14","Dummy_2","Dummy_3",NA,NA
"PB.14","Dummy_1","Dummy_4",NA,NA
"PB.14","Dummy_2","Dummy_4",NA,0.999999999999982
"PB.14","Dummy_3","Dummy_4",NA,NA
"PB.6","Dummy_1","Dummy_2",NA,NA
"PB.6","Dummy_1","Dummy_3",NA,NA
"PB.6","Dummy_2","Dummy_3",NA,0.999999999999952
"PB.6","Dummy_1","Dummy_4",0.999999999999997,NA
"PB.6","Dummy_2","Dummy_4",NA,NA
"PB.6","Dummy_3","Dummy_4",NA,NA
"PB.7","Dummy_1","Dummy_2",NA,0.00496789265041022
"PB.7","Dummy_1","Dummy_3",NA,0.00544589819182661
"PB.7","Dummy_2","Dummy_3",NA,NA
"PB.7","Dummy_1","Dummy_4",NA,0.00481823277417629
"PB.7","Dummy_2","Dummy_4",NA,NA
"PB.7","Dummy_3","Dummy_4",NA,NA
"PB.15","Dummy_1","Dummy_2",NA,NA
"PB.15","Dummy_1","Dummy_3",0.00544589819182661,NA
"PB.15","Dummy_2","Dummy_3",NA,NA
"PB.15","Dummy_1","Dummy_4",NA,NA
"PB.15","Dummy_2","Dummy_4",NA,0.999999999999982
"PB.15","Dummy_3","Dummy_4",NA,NA
"PB.8","Dummy_1","Dummy_2",NA,0.00496789265041022
"PB.8","Dummy_1","Dummy_3",NA,0.00544589819182661
"PB.8","Dummy_2","Dummy_3",NA,NA
"PB.8","Dummy_1","Dummy_4",NA,0.00481823277417629
"PB.8","Dummy_2","Dummy_4",NA,NA
"PB.8","Dummy_3","Dummy_4",NA,NA
"PB.16","Dummy_1","Dummy_2",NA,NA
"PB.16","Dummy_1","Dummy_3",0.00544589819182661,NA
"PB.16","Dummy_2","Dummy_3",NA,NA
"PB.16","Dummy_1","Dummy_4",NA,NA
"PB.16","Dummy_2","Dummy_4",NA,0.999999999999982
"PB.16","Dummy_3","Dummy_4",NA,NA
"PB.9","Dummy_1","Dummy_2",NA,0.00496789265041022
"PB.9","Dummy_1","Dummy_3",NA,0.00544589819182661
"PB.9","Dummy_2","Dummy_3",NA,NA
"PB.9","Dummy_1","Dummy_4",NA,0.00481823277417629
"PB.9","Dummy_2","Dummy_4",NA,NA
"PB.9","Dummy_3","Dummy_4",NA,NA
"PB.17","Dummy_1","Dummy_2",NA,NA
"PB.17","Dummy_1","Dummy_3",NA,NA
"PB.17","Dummy_2","Dummy_3",NA,0.72939675033305
"PB.17","Dummy_1","Dummy_4",0.781238551540353,NA
"PB.17","Dummy_2","Dummy_4",NA,NA
"PB.17","Dummy_3","Dummy_4",NA,NA
"PB.2","Dummy_1","Dummy_2",NA,2.98231396632379e-12
"PB.2","Dummy_1","Dummy_3",NA,NA
"PB.2","Dummy_2","Dummy_3",NA,8.20094337822362e-12
"PB.2","Dummy_1","Dummy_4",NA,NA
"PB.2","Dummy_2","Dummy_4",NA,4.40017390792169e-12
"PB.2","Dummy_3","Dummy_4",NA,NA
"PB.11","Dummy_1","Dummy_2",NA,0.00400304249885959
"PB.11","Dummy_1","Dummy_3",NA,NA
"PB.11","Dummy_2","Dummy_3",NA,0.00490327246063109
"PB.11","Dummy_1","Dummy_4",NA,NA
"PB.11","Dummy_2","Dummy_4",NA,0.00432749836660466
"PB.11","Dummy_3","Dummy_4",NA,NA
"PB.12","Dummy_1","Dummy_2",NA,0.00400304249885959
"PB.12","Dummy_1","Dummy_3",NA,NA
"PB.12","Dummy_2","Dummy_3",NA,0.00490327246063109
"PB.12","Dummy_1","Dummy_4",NA,NA
"PB.12","Dummy_2","Dummy_4",NA,0.00432749836660466
"PB.12","Dummy_3","Dummy_4",NA,NA
"PB.13","Dummy_1","Dummy_2",NA,0.00400304249885959
"PB.13","Dummy_1","Dummy_3",NA,NA
"PB.13","Dummy_2","Dummy_3",NA,0.00490327246063109
"PB.13","Dummy_1","Dummy_4",NA,NA
"PB.13","Dummy_2","Dummy_4",NA,0.00432749836660466
"PB.13","Dummy_3","Dummy_4",NA,NA
"PB.4","Dummy_1","Dummy_2",NA,NA
"PB.4","Dummy_1","Dummy_3",NA,NA
"PB.4","Dummy_2","Dummy_3",NA,NA
"PB.4","Dummy_1","Dummy_4",NA,3.48842026952314e-12
"PB.4","Dummy_2","Dummy_4",NA,5.9937570359119e-12
"PB.4","Dummy_3","Dummy_4",NA,9.53419225667216e-12
