"Isoform_PBid","Sample","P_Value_Hyp1"
"GeneA","Dummy_1",1.44812748820012e-06
"GeneA","Dummy_2",NA
"GeneA","Dummy_3",NA
"GeneA","Dummy_4",NA
"GeneC","Dummy_1",1.63211551789849e-07
"GeneC","Dummy_2",NA
"GeneC","Dummy_3",2.5379928299704e-07
"GeneC","Dummy_4",2.59460437787485e-07
"GeneD","Dummy_1",1.27528199131063e-05
"GeneD","Dummy_2",3.4104162383262e-05
"GeneD","Dummy_3",1.73935455992354e-05
"GeneD","Dummy_4",0.563829262341263
"GeneE","Dummy_1",0.00236126853851161
"GeneE","Dummy_2",NA
"GeneE","Dummy_3",NA
"GeneE","Dummy_4",NA
"GeneG","Dummy_1",5.65133624507958e-05
"GeneG","Dummy_2",0.00013194389588789
"GeneG","Dummy_3",NA
"GeneG","Dummy_4",7.50025424453011e-05
"GeneH","Dummy_1",5.14362757572013e-59
"GeneH","Dummy_2",3.59290308719135e-62
"GeneH","Dummy_3",8.36620546551481e-60
"GeneH","Dummy_4",5.41322431785822e-60
"GeneI","Dummy_1",0
"GeneI","Dummy_2",0
"GeneI","Dummy_3",0
"GeneI","Dummy_4",0
"GeneJ","Dummy_1",7.66677816702815e-140
"GeneJ","Dummy_2",8.6088130885574e-146
"GeneJ","Dummy_3",2.85578996464156e-141
"GeneJ","Dummy_4",1.13033150043041e-141
"GeneB","Dummy_1",NA
"GeneB","Dummy_2",6.51042005143634e-07
"GeneB","Dummy_3",NA
"GeneB","Dummy_4",NA
"GeneF","Dummy_1",NA
"GeneF","Dummy_2",0.00013194389588789
"GeneF","Dummy_3",NA
"GeneF","Dummy_4",NA
