"Isoform_PBid","Sample1","Sample2","P_Value_Hyp3_below_median","P_Value_Hyp3_above_median"
"GeneA","Dummy_1","Dummy_2",NA,2.77041390156906e-15
"GeneA","Dummy_1","Dummy_3",NA,1.40550652501759e-14
"GeneA","Dummy_2","Dummy_3",NA,NA
"GeneA","Dummy_1","Dummy_4",NA,1.61319572972098e-15
"GeneA","Dummy_2","Dummy_4",NA,NA
"GeneA","Dummy_3","Dummy_4",NA,NA
"GeneC","Dummy_1","Dummy_2",2.7073387633537e-11,NA
"GeneC","Dummy_1","Dummy_3",NA,NA
"GeneC","Dummy_2","Dummy_3",NA,NA
"GeneC","Dummy_1","Dummy_4",NA,NA
"GeneC","Dummy_2","Dummy_4",NA,NA
"GeneC","Dummy_3","Dummy_4",NA,0.812619379163102
"GeneD","Dummy_1","Dummy_2",0.906550741493021,NA
"GeneD","Dummy_1","Dummy_3",NA,NA
"GeneD","Dummy_2","Dummy_3",NA,NA
"GeneD","Dummy_1","Dummy_4",NA,NA
"GeneD","Dummy_2","Dummy_4",NA,NA
"GeneD","Dummy_3","Dummy_4",NA,6.54002457480503e-05
"GeneE","Dummy_1","Dummy_2",NA,3.27864298110872e-07
"GeneE","Dummy_1","Dummy_3",NA,6.68326614286772e-07
"GeneE","Dummy_2","Dummy_3",NA,NA
"GeneE","Dummy_1","Dummy_4",NA,2.58664349860356e-07
"GeneE","Dummy_2","Dummy_4",NA,NA
"GeneE","Dummy_3","Dummy_4",NA,NA
"GeneG","Dummy_1","Dummy_2",NA,NA
"GeneG","Dummy_1","Dummy_3",6.68326614286772e-07,NA
"GeneG","Dummy_2","Dummy_3",NA,NA
"GeneG","Dummy_1","Dummy_4",NA,NA
"GeneG","Dummy_2","Dummy_4",NA,0.999999999999993
"GeneG","Dummy_3","Dummy_4",NA,NA
"GeneH","Dummy_1","Dummy_2",NA,NA
"GeneH","Dummy_1","Dummy_3",NA,NA
"GeneH","Dummy_2","Dummy_3",NA,0.409050124059659
"GeneH","Dummy_1","Dummy_4",0.51618614426961,NA
"GeneH","Dummy_2","Dummy_4",NA,NA
"GeneH","Dummy_3","Dummy_4",NA,NA
"GeneI","Dummy_1","Dummy_2",NA,NA
"GeneI","Dummy_1","Dummy_3",NA,NA
"GeneI","Dummy_2","Dummy_3",NA,0.944522868794851
"GeneI","Dummy_1","Dummy_4",0.979145156250923,NA
"GeneI","Dummy_2","Dummy_4",NA,NA
"GeneI","Dummy_3","Dummy_4",NA,NA
"GeneB","Dummy_1","Dummy_2",NA,1.67773634669454e-12
"GeneB","Dummy_1","Dummy_3",NA,NA
"GeneB","Dummy_2","Dummy_3",NA,2.45117023324742e-11
"GeneB","Dummy_1","Dummy_4",NA,NA
"GeneB","Dummy_2","Dummy_4",NA,4.70125903021603e-12
"GeneB","Dummy_3","Dummy_4",NA,NA
"GeneF","Dummy_1","Dummy_2",NA,6.02467683727186e-08
"GeneF","Dummy_1","Dummy_3",NA,NA
"GeneF","Dummy_2","Dummy_3",NA,3.06822649479801e-07
"GeneF","Dummy_1","Dummy_4",NA,NA
"GeneF","Dummy_2","Dummy_4",NA,1.12588558341516e-07
"GeneF","Dummy_3","Dummy_4",NA,NA
