Sample,Antisense_Gene,Antisense_Z_Score,Sense_Gene,Sense_Z_Score
BCH_0252-01,PTENP1-AS,3.59059251441031,PTENP1,1.99832639842251
BCH_0252-01,novelGene_7SK_AS,4.50951774080217,7SK,-0.431049978780897
BCH_0252-01,novelGene_AAK1_AS,2.53729645093042,AAK1,2.30679588164587
BCH_0252-01,novelGene_AASS_AS,2.21767926900906,AASS,0.769068802092727
BCH_0252-01,novelGene_ABAT_AS,4.38175930545061,ABAT,1.73209989684415
BCH_0252-01,novelGene_ABCA9-AS1_AS,4.03663216229248,novelGene_ABCA9,
BCH_0252-01,novelGene_ABCB10_AS,2.8591372069617,ABCB10,1.04381651831542
BCH_0252-01,novelGene_ABCC9_AS,3.56585685456501,ABCC9,3.58006960624549
BCH_0252-01,novelGene_ABCF2-H2BK1_AS,3.99023661341734,ABCF2-H2BK1,-0.366094829454834
BCH_0252-01,novelGene_ABHD12_AS,4.36809636977173,ABHD12,-0.856481796534146
BCH_0252-01,novelGene_ACADM_AS,2.02946139622489,ACADM,-1.14932374633942
BCH_0252-01,novelGene_ACBD3_AS,2.38850164810901,ACBD3,0.140936911432181
BCH_0252-01,novelGene_ACLY_AS,2.90962651224746,ACLY,0.015813375715269
BCH_0252-01,novelGene_ACO1_AS,4.16694512364149,ACO1,0.158154461999599
BCH_0252-01,novelGene_ACSS2_AS,3.26522261537317,ACSS2,-0.811900599716897
BCH_0252-01,novelGene_ACTG1P14_AS,4.20768790651016,ACTG1P14,-0.179605302026775
BCH_0252-01,novelGene_ACTR3_AS,2.518586671398,ACTR3,-0.0404012324362482
BCH_0252-01,novelGene_ADAM21_AS,5.38815906080325,ADAM21,0.657525260105238
BCH_0252-01,novelGene_ADAM23_AS,3.28361679701865,ADAM23,3.09832745839777
BCH_0252-01,novelGene_ADAT1_AS,4.00740650664426,ADAT1,2.79466896044351
BCH_0252-01,novelGene_ADCK1_AS,3.18786477741415,ADCK1,-1.6487560249447
BCH_0252-01,novelGene_ADCY7_AS,5.38815906080325,ADCY7,1.87879105881444
BCH_0252-01,novelGene_ADD3_AS,2.10649184374811,ADD3,1.69367122293568
BCH_0252-01,novelGene_ADGRG2_AS,3.29617230583143,ADGRG2,0.726158106808545
BCH_0252-01,novelGene_ADH6_AS,2.95652777890946,ADH6,1.74513504225326
BCH_0252-01,novelGene_ADIPOR1_AS,2.67357643068557,ADIPOR1,-1.31236352356455
BCH_0252-01,novelGene_ADNP-AS1_AS,3.35849051717448,novelGene_ADNP,
